2025-09-12 18:51:44 status half-configured libtsan0:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed libtsan0:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 configure cpp-11:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked cpp-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured cpp-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed cpp-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 configure libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed libgcc-11-dev:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 configure gcc-11:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked gcc-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured gcc-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed gcc-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 configure libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed libstdc++-11-dev:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 configure g++-11:amd64 11.4.0-1ubuntu1~22.04.2 <none>
2025-09-12 18:51:44 status unpacked g++-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status half-configured g++-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 status installed g++-11:amd64 11.4.0-1ubuntu1~22.04.2
2025-09-12 18:51:44 trigproc man-db:amd64 2.10.2-1 <none>
2025-09-12 18:51:44 status half-configured man-db:amd64 2.10.2-1
2025-09-12 18:51:44 status installed man-db:amd64 2.10.2-1
2025-09-12 18:51:44 trigproc libc-bin:amd64 2.35-0ubuntu3.10 <none>
2025-09-12 18:51:44 status half-configured libc-bin:amd64 2.35-0ubuntu3.10
2025-09-12 18:51:44 status installed libc-bin:amd64 2.35-0ubuntu3.10
2025-09-12 18:51:48 startup archives unpack
2025-09-12 18:51:48 upgrade gcc-12-base:amd64 12.3.0-1ubuntu1~22.04 12.3.0-1ubuntu1~22.04.2
2025-09-12 18:51:48 status half-configured gcc-12-base:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked gcc-12-base:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-configured gcc-12-base:i386 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status half-installed gcc-12-base:amd64 12.3.0-1ubuntu1~22.04
2025-09-12 18:51:48 status unpacked gcc-12-base:amd64 12.3.0-1ubuntu1~22.04.2
