mode,fs,operation,iter_no,time_sec
fuse_rot13,fuse,write,5,0.000133850
fuse_rot13,fuse,write,6,0.000080376
fuse_rot13,fuse,write,7,0.000135383
fuse_rot13,fuse,write,8,0.000128143
fuse_rot13,fuse,write,9,0.000162767
fuse_rot13,fuse,write,10,0.000146118
fuse_rot13,fuse,write,11,0.000198644
fuse_rot13,fuse,write,12,0.000164947
fuse_rot13,fuse,write,13,0.000108772
fuse_rot13,fuse,write,14,0.000148638
fuse_rot13,fuse,write,15,0.000175363
fuse_rot13,fuse,write,16,0.000127585
fuse_rot13,fuse,write,17,0.000076398
fuse_rot13,fuse,write,18,0.000144792
fuse_rot13,fuse,write,19,0.000163438
fuse_rot13,fuse,write,20,0.000146079
fuse_rot13,fuse,write,21,0.000079543
fuse_rot13,fuse,write,22,0.000134484
fuse_rot13,fuse,write,23,0.000149128
fuse_rot13,fuse,write,24,0.000118917
fuse_rot13,fuse,write,25,0.000147892
fuse_rot13,fuse,write,26,0.000106562
fuse_rot13,fuse,write,27,0.000081348
fuse_rot13,fuse,write,28,0.000092878
fuse_rot13,fuse,write,29,0.000079857
fuse_rot13,fuse,write,30,0.000134751
fuse_rot13,fuse,write,31,0.000146979
fuse_rot13,fuse,write,32,0.000130274
fuse_rot13,fuse,write,33,0.000185841
fuse_rot13,fuse,write,34,0.000139102
fuse_rot13,fuse,write,35,0.000129525
fuse_rot13,fuse,write,36,0.000291260
fuse_rot13,fuse,write,37,0.000158506
fuse_rot13,fuse,write,38,0.000216242
fuse_rot13,fuse,write,39,0.000121938
fuse_rot13,fuse,write,40,0.000156375
fuse_rot13,fuse,write,41,0.000064354
fuse_rot13,fuse,write,42,0.000138456
fuse_rot13,fuse,write,43,0.000132596
fuse_rot13,fuse,write,44,0.000131795
fuse_rot13,fuse,write,45,0.000132865
fuse_rot13,fuse,write,46,0.000126675
fuse_rot13,fuse,write,47,0.000124156
fuse_rot13,fuse,write,48,0.000136902
fuse_rot13,fuse,write,49,0.000122085
fuse_rot13,fuse,write,50,0.000132929
fuse_rot13,fuse,getattr,1,0.000004186
fuse_rot13,fuse,getattr,2,0.000001590
fuse_rot13,fuse,getattr,3,0.000001517
fuse_rot13,fuse,getattr,4,0.000001564
fuse_rot13,fuse,getattr,5,0.000001431
fuse_rot13,fuse,getattr,6,0.000001543
fuse_rot13,fuse,getattr,7,0.000001549
fuse_rot13,fuse,getattr,8,0.000001524
fuse_rot13,fuse,getattr,9,0.000001568
fuse_rot13,fuse,getattr,10,0.000001504
fuse_rot13,fuse,getattr,11,0.000001526
fuse_rot13,fuse,getattr,12,0.000001473
fuse_rot13,fuse,getattr,13,0.000001539
fuse_rot13,fuse,getattr,14,0.000001518
fuse_rot13,fuse,getattr,15,0.000001584
fuse_rot13,fuse,getattr,16,0.000001401
fuse_rot13,fuse,getattr,17,0.000001642
fuse_rot13,fuse,getattr,18,0.000001533
fuse_rot13,fuse,getattr,19,0.000001444
fuse_rot13,fuse,getattr,20,0.000001632
fuse_rot13,fuse,getattr,21,0.000001571
fuse_rot13,fuse,getattr,22,0.000001529
fuse_rot13,fuse,getattr,23,0.000001581
fuse_rot13,fuse,getattr,24,0.000001597
fuse_rot13,fuse,getattr,25,0.000002689
fuse_rot13,fuse,getattr,26,0.000001602
fuse_rot13,fuse,getattr,27,0.000001462
fuse_rot13,fuse,getattr,28,0.000001522
fuse_rot13,fuse,getattr,29,0.000001527
fuse_rot13,fuse,getattr,30,0.000001445
fuse_rot13,fuse,getattr,31,0.000001467
fuse_rot13,fuse,getattr,32,0.000001459
fuse_rot13,fuse,getattr,33,0.000001373
fuse_rot13,fuse,getattr,34,0.000001421
fuse_rot13,fuse,getattr,35,0.000001441
fuse_rot13,fuse,getattr,36,0.000001475
fuse_rot13,fuse,getattr,37,0.000001482
fuse_rot13,fuse,getattr,38,0.000001465
fuse_rot13,fuse,getattr,39,0.000001500
fuse_rot13,fuse,getattr,40,0.000001525
fuse_rot13,fuse,getattr,41,0.000001386
fuse_rot13,fuse,getattr,42,0.000001411
fuse_rot13,fuse,getattr,43,0.000001425
fuse_rot13,fuse,getattr,44,0.000001685
fuse_rot13,fuse,getattr,45,0.000001348
fuse_rot13,fuse,getattr,46,0.000003070
fuse_rot13,fuse,getattr,47,0.000001443
fuse_rot13,fuse,getattr,48,0.000001620
fuse_rot13,fuse,getattr,49,0.000001427
fuse_rot13,fuse,getattr,50,0.000001563
fuse_uppercase,fuse,open,1,0.000330228
fuse_uppercase,fuse,open,2,0.000342122
fuse_uppercase,fuse,open,3,0.000302686
fuse_uppercase,fuse,open,4,0.000369623
fuse_uppercase,fuse,open,5,0.000263784
fuse_uppercase,fuse,open,6,0.000249075
fuse_uppercase,fuse,open,7,0.000415233
fuse_uppercase,fuse,open,8,0.000329450
fuse_uppercase,fuse,open,9,0.000359615
fuse_uppercase,fuse,open,10,0.000258889
fuse_uppercase,fuse,open,11,0.000262778
fuse_uppercase,fuse,open,12,0.000280000
fuse_uppercase,fuse,open,13,0.000388170
fuse_uppercase,fuse,open,14,0.000259844
fuse_uppercase,fuse,open,15,0.000379446
fuse_uppercase,fuse,open,16,0.000381857
fuse_uppercase,fuse,open,17,0.000434417
fuse_uppercase,fuse,open,18,0.000431733
fuse_uppercase,fuse,open,19,0.000297907
fuse_uppercase,fuse,open,20,0.000332962
fuse_uppercase,fuse,open,21,0.000422068
fuse_uppercase,fuse,open,22,0.000395700
fuse_uppercase,fuse,open,23,0.000355081
fuse_uppercase,fuse,open,24,0.000418425
fuse_uppercase,fuse,open,25,0.000487828
fuse_uppercase,fuse,open,26,0.000226722
fuse_uppercase,fuse,open,27,0.000301895
fuse_uppercase,fuse,open,28,0.000345475
fuse_uppercase,fuse,open,29,0.000459448
fuse_uppercase,fuse,open,30,0.000319637
fuse_uppercase,fuse,open,31,0.000468790
fuse_uppercase,fuse,open,32,0.000367782
fuse_uppercase,fuse,open,33,0.000275515
fuse_uppercase,fuse,open,34,0.000430169
fuse_uppercase,fuse,open,35,0.000330495
fuse_uppercase,fuse,open,36,0.000385745
fuse_uppercase,fuse,open,37,0.000404832
fuse_uppercase,fuse,open,38,0.000417939
fuse_uppercase,fuse,open,39,0.000334596
fuse_uppercase,fuse,open,40,0.000268776
fuse_uppercase,fuse,open,41,0.000419763
fuse_uppercase,fuse,open,42,0.000398796
fuse_uppercase,fuse,open,43,0.000351134
fuse_uppercase,fuse,open,44,0.000308781
fuse_uppercase,fuse,open,45,0.000487059
fuse_uppercase,fuse,open,46,0.000296723
fuse_uppercase,fuse,open,47,0.000428200
fuse_uppercase,fuse,open,48,0.000326346
fuse_uppercase,fuse,open,49,0.000265082
fuse_uppercase,fuse,open,50,0.000320983
fuse_uppercase,fuse,read,1,0.000207700
fuse_uppercase,fuse,read,2,0.000156231
fuse_uppercase,fuse,read,3,0.000064624
fuse_uppercase,fuse,read,4,0.000069465
fuse_uppercase,fuse,read,5,0.000095737
fuse_uppercase,fuse,read,6,0.000131619
fuse_uppercase,fuse,read,7,0.000064125
fuse_uppercase,fuse,read,8,0.000068045
fuse_uppercase,fuse,read,9,0.000063534
fuse_uppercase,fuse,read,10,0.000074545
fuse_uppercase,fuse,read,11,0.000099778
fuse_uppercase,fuse,read,12,0.000183353
fuse_uppercase,fuse,read,13,0.000065409
fuse_uppercase,fuse,read,14,0.000089477
fuse_uppercase,fuse,read,15,0.000126523
fuse_uppercase,fuse,read,16,0.000166575
fuse_uppercase,fuse,read,17,0.000136506
fuse_uppercase,fuse,read,18,0.000065745
fuse_uppercase,fuse,read,19,0.000143560
fuse_uppercase,fuse,read,20,0.000152858
fuse_uppercase,fuse,read,21,0.000070643
fuse_uppercase,fuse,read,22,0.000120410
fuse_uppercase,fuse,read,23,0.000069975
fuse_uppercase,fuse,read,24,0.000128960
fuse_uppercase,fuse,read,25,0.000065568
fuse_uppercase,fuse,read,26,0.000149758
fuse_uppercase,fuse,read,27,0.000118860
fuse_uppercase,fuse,read,28,0.000209956
fuse_uppercase,fuse,read,29,0.000170318
fuse_uppercase,fuse,read,30,0.000143826
