2025-04-15 17:15:01 status unpacked libc6:amd64 2.41-6ubuntu1
2025-04-15 17:15:01 install libcap-ng0:amd64 <none> 0.8.5-4build1
2025-04-15 17:15:01 status half-installed libcap-ng0:amd64 0.8.5-4build1
2025-04-15 17:15:01 status unpacked libcap-ng0:amd64 0.8.5-4build1
2025-04-15 17:15:01 install libcap2:amd64 <none> 1:2.73-4ubuntu1
2025-04-15 17:15:01 status half-installed libcap2:amd64 1:2.73-4ubuntu1
2025-04-15 17:15:01 status unpacked libcap2:amd64 1:2.73-4ubuntu1
2025-04-15 17:15:01 install libcom-err2:amd64 <none> 1.47.2-1ubuntu1
2025-04-15 17:15:01 status half-installed libcom-err2:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:01 status unpacked libcom-err2:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:01 install libcrypt1:amd64 <none> 1:4.4.38-1
2025-04-15 17:15:01 status half-installed libcrypt1:amd64 1:4.4.38-1
2025-04-15 17:15:01 status unpacked libcrypt1:amd64 1:4.4.38-1
2025-04-15 17:15:01 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-9
2025-04-15 17:15:01 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-04-15 17:15:01 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-04-15 17:15:01 install libdebconfclient0:amd64 <none> 0.277ubuntu1
2025-04-15 17:15:01 status half-installed libdebconfclient0:amd64 0.277ubuntu1
2025-04-15 17:15:01 status unpacked libdebconfclient0:amd64 0.277ubuntu1
2025-04-15 17:15:01 install libext2fs2t64:amd64 <none> 1.47.2-1ubuntu1
2025-04-15 17:15:01 status half-installed libext2fs2t64:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:01 status unpacked libext2fs2t64:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:01 install libgcc-s1:amd64 <none> 15-20250404-0ubuntu1
2025-04-15 17:15:01 status half-installed libgcc-s1:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:01 status unpacked libgcc-s1:amd64 15-20250404-0ubuntu1
2025-04-15 17:15:01 install libgmp10:amd64 <none> 2:6.3.0+dfsg-3ubuntu1
2025-04-15 17:15:01 status half-installed libgmp10:amd64 2:6.3.0+dfsg-3ubuntu1
2025-04-15 17:15:01 status unpacked libgmp10:amd64 2:6.3.0+dfsg-3ubuntu1
2025-04-15 17:15:01 install liblzma5:amd64 <none> 5.6.4-1ubuntu1
2025-04-15 17:15:01 status half-installed liblzma5:amd64 5.6.4-1ubuntu1
2025-04-15 17:15:01 status unpacked liblzma5:amd64 5.6.4-1ubuntu1
2025-04-15 17:15:01 install libmd0:amd64 <none> 1.1.0-2build2
2025-04-15 17:15:01 status half-installed libmd0:amd64 1.1.0-2build2
2025-04-15 17:15:01 status unpacked libmd0:amd64 1.1.0-2build2
2025-04-15 17:15:01 install libmount1:amd64 <none> 2.40.2-14ubuntu1
2025-04-15 17:15:01 status half-installed libmount1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:01 status unpacked libmount1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:01 install libncursesw6:amd64 <none> 6.5+20250216-2
2025-04-15 17:15:01 status half-installed libncursesw6:amd64 6.5+20250216-2
2025-04-15 17:15:01 status unpacked libncursesw6:amd64 6.5+20250216-2
2025-04-15 17:15:01 install libpam-modules:amd64 <none> 1.5.3-7ubuntu4
2025-04-15 17:15:01 status half-installed libpam-modules:amd64 1.5.3-7ubuntu4
2025-04-15 17:15:01 status unpacked libpam-modules:amd64 1.5.3-7ubuntu4
2025-04-15 17:15:01 install libpam-modules-bin:amd64 <none> 1.5.3-7ubuntu4
2025-04-15 17:15:01 status half-installed libpam-modules-bin:amd64 1.5.3-7ubuntu4
2025-04-15 17:15:01 status unpacked libpam-modules-bin:amd64 1.5.3-7ubuntu4
2025-04-15 17:15:01 install libpam-runtime:all <none> 1.5.3-7ubuntu4
2025-04-15 17:15:01 status half-installed libpam-runtime:all 1.5.3-7ubuntu4
2025-04-15 17:15:01 status unpacked libpam-runtime:all 1.5.3-7ubuntu4
2025-04-15 17:15:01 install libpam0g:amd64 <none> 1.5.3-7ubuntu4
2025-04-15 17:15:01 status half-installed libpam0g:amd64 1.5.3-7ubuntu4
2025-04-15 17:15:01 status unpacked libpam0g:amd64 1.5.3-7ubuntu4
2025-04-15 17:15:01 install libpcre2-8-0:amd64 <none> 10.45-1
2025-04-15 17:15:01 status half-installed libpcre2-8-0:amd64 10.45-1
2025-04-15 17:15:01 status unpacked libpcre2-8-0:amd64 10.45-1
2025-04-15 17:15:01 install libproc2-0:amd64 <none> 2:4.0.4-7ubuntu1
2025-04-15 17:15:01 status half-installed libproc2-0:amd64 2:4.0.4-7ubuntu1
2025-04-15 17:15:01 status unpacked libproc2-0:amd64 2:4.0.4-7ubuntu1
2025-04-15 17:15:02 install libselinux1:amd64 <none> 3.7-3ubuntu3
2025-04-15 17:15:02 status half-installed libselinux1:amd64 3.7-3ubuntu3
2025-04-15 17:15:02 status unpacked libselinux1:amd64 3.7-3ubuntu3
2025-04-15 17:15:02 install libsemanage-common:all <none> 3.7-2.1build1
2025-04-15 17:15:02 status half-installed libsemanage-common:all 3.7-2.1build1
2025-04-15 17:15:02 status unpacked libsemanage-common:all 3.7-2.1build1
2025-04-15 17:15:02 install libsemanage2:amd64 <none> 3.7-2.1build1
2025-04-15 17:15:02 status half-installed libsemanage2:amd64 3.7-2.1build1
2025-04-15 17:15:02 status unpacked libsemanage2:amd64 3.7-2.1build1
2025-04-15 17:15:02 install libsepol2:amd64 <none> 3.7-1
2025-04-15 17:15:02 status half-installed libsepol2:amd64 3.7-1
2025-04-15 17:15:02 status unpacked libsepol2:amd64 3.7-1
2025-04-15 17:15:02 install libsmartcols1:amd64 <none> 2.40.2-14ubuntu1
2025-04-15 17:15:02 status half-installed libsmartcols1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:02 status unpacked libsmartcols1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:02 install libss2:amd64 <none> 1.47.2-1ubuntu1
2025-04-15 17:15:02 status half-installed libss2:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:02 status unpacked libss2:amd64 1.47.2-1ubuntu1
2025-04-15 17:15:02 install libssl3t64:amd64 <none> 3.4.1-1ubuntu3
2025-04-15 17:15:02 status half-installed libssl3t64:amd64 3.4.1-1ubuntu3
2025-04-15 17:15:02 status unpacked libssl3t64:amd64 3.4.1-1ubuntu3
2025-04-15 17:15:02 install libsystemd0:amd64 <none> 257.4-1ubuntu3
2025-04-15 17:15:02 status half-installed libsystemd0:amd64 257.4-1ubuntu3
2025-04-15 17:15:02 status unpacked libsystemd0:amd64 257.4-1ubuntu3
2025-04-15 17:15:02 install libtinfo6:amd64 <none> 6.5+20250216-2
2025-04-15 17:15:02 status half-installed libtinfo6:amd64 6.5+20250216-2
2025-04-15 17:15:02 status unpacked libtinfo6:amd64 6.5+20250216-2
2025-04-15 17:15:02 install libudev1:amd64 <none> 257.4-1ubuntu3
2025-04-15 17:15:02 status half-installed libudev1:amd64 257.4-1ubuntu3
2025-04-15 17:15:02 status unpacked libudev1:amd64 257.4-1ubuntu3
2025-04-15 17:15:02 install libuuid1:amd64 <none> 2.40.2-14ubuntu1
2025-04-15 17:15:02 status half-installed libuuid1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:02 status unpacked libuuid1:amd64 2.40.2-14ubuntu1
2025-04-15 17:15:02 install libzstd1:amd64 <none> 1.5.6+dfsg-2
