2025/12/17 22:53:22 Starting supervisor with config: config/config.json, workers: 4
2025/12/17 22:53:26 [worker 1] tick=280 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=280 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=280 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=280 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:26 [worker 1] tick=290 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=290 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=290 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=290 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:26 [worker 1] tick=300 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=300 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=300 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=300 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:26 [worker 1] tick=310 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=310 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=310 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=310 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:26 [worker 1] tick=320 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=320 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=320 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=320 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:26 [worker 1] tick=330 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 2] tick=330 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 3] tick=330 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:26 [worker 0] tick=330 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=340 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=340 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=340 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=340 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=350 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=350 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=350 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=350 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=360 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=360 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=360 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=360 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=370 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=370 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=370 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=370 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=380 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=380 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=380 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=380 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=390 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=390 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=390 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=390 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=400 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=400 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=400 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=400 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=410 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 2] tick=410 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 3] tick=410 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:27 [worker 0] tick=410 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:27 [worker 1] tick=420 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=420 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 3] tick=420 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=420 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 1] tick=430 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=430 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 3] tick=430 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=430 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 1] tick=440 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 3] tick=440 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=440 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=440 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 1] tick=450 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=450 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 3] tick=450 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=450 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 1] tick=460 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=460 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 3] tick=460 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=460 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 1] tick=470 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=470 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 3] tick=470 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=470 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 1] tick=480 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=480 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 3] tick=480 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=480 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 1] tick=490 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=490 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=490 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:28 [worker 3] tick=490 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 1] tick=500 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 2] tick=500 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:28 [worker 0] tick=500 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 3] tick=500 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 1] tick=510 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 2] tick=510 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 3] tick=510 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 0] tick=510 mode=heavy work_us=9000 sleep_us=1000 cpu=0
2025/12/17 22:53:29 [worker 1] tick=520 mode=heavy work_us=9000 sleep_us=1000 cpu=1
2025/12/17 22:53:29 [worker 2] tick=520 mode=heavy work_us=9000 sleep_us=1000 cpu=1
